,channelGrouping,date,fullVisitorId,sessionId,socialEngagementType,visitId,visitNumber,visitStartTime,device.browser,device.browserSize,device.browserVersion,device.deviceCategory,device.flashVersion,device.isMobile,device.language,device.mobileDeviceBranding,device.mobileDeviceInfo,device.mobileDeviceMarketingName,device.mobileDeviceModel,device.mobileInputSelector,device.operatingSystem,device.operatingSystemVersion,device.screenColors,device.screenResolution,geoNetwork.city,geoNetwork.cityId,geoNetwork.continent,geoNetwork.country,geoNetwork.latitude,geoNetwork.longitude,geoNetwork.metro,geoNetwork.networkDomain,geoNetwork.networkLocation,geoNetwork.region,geoNetwork.subContinent,totals.bounces,totals.hits,totals.newVisits,totals.pageviews,totals.transactionRevenue,totals.visits,trafficSource.adContent,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.campaign,trafficSource.campaignCode,trafficSource.isTrueDirect,trafficSource.keyword,trafficSource.medium,trafficSource.referralPath,trafficSource.source
859,Referral,20160902,3244885836845029978,3244885836845029978_1472824817,Not Socially Engaged,1472824817,4,1472824817,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,17,,14,574150000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
942,Referral,20160902,1546626226233851002,1546626226233851002_1472837482,Not Socially Engaged,1472837482,3,1472837482,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Sunnyvale,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,24,,21,546320000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
1022,Referral,20160902,3152246617474456269,3152246617474456269_1472828860,Not Socially Engaged,1472828860,2,1472828860,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chicago,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Chicago IL,(not set),not available in demo dataset,Illinois,Northern America,,38,,28,635500000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
2774,Display,20170126,7168226225550508027,7168226225550508027_1485452166,Not Socially Engaged,1485452166,3,1485452166,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,42,,33,593910000.0,1,,,not available in demo dataset,,,,,(not set),,,,cpm,,dfa
3418,Referral,20170126,7638336411447332495,7638336411447332495_1485447665,Not Socially Engaged,1485447665,7,1485447665,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,unknown.unknown,not available in demo dataset,New York,Northern America,,161,,112,1077000000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
10449,Direct,20170203,8092136662808852323,8092136662808852323_1486139748,Not Socially Engaged,1486139748,3,1486139748,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chicago,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Chicago IL,(not set),not available in demo dataset,Illinois,Northern America,,27,,22,536820000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
10485,Direct,20170203,1814166460229302850,1814166460229302850_1486135601,Not Socially Engaged,1486135601,8,1486135601,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,embarqhsd.net,not available in demo dataset,not available in demo dataset,Northern America,,54,,40,1171470000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
11248,Referral,20160811,1144912080450618887,1144912080450618887_1470954680,Not Socially Engaged,1470954680,3,1470954680,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,San Bruno,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,16,,12,1188550000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
11287,Referral,20160811,6180179196714828509,6180179196714828509_1470939757,Not Socially Engaged,1470939757,2,1470939757,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chicago,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Chicago IL,(not set),not available in demo dataset,Illinois,Northern America,,18,,16,769290000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
11388,Referral,20160811,5513331212846933396,5513331212846933396_1470956892,Not Socially Engaged,1470956892,9,1470956892,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,30,,23,556610000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/a/google.com/google-merchandise-store/on-site-store,sites.google.com
11477,Referral,20160811,517804428885255967,517804428885255967_1470947217,Not Socially Engaged,1470947217,12,1470947217,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Seattle,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Seattle-Tacoma WA,(not set),not available in demo dataset,Washington,Northern America,,107,,78,1164540000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
14394,Direct,20170613,7113011772090059658,7113011772090059658_1497412270,Not Socially Engaged,1497412270,4,1497412270,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,wayport.net,not available in demo dataset,not available in demo dataset,Northern America,,86,,62,1698580000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
17232,Referral,20170113,5179586107192059934,5179586107192059934_1484342612,Not Socially Engaged,1484342612,2,1484342612,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chicago,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Chicago IL,(not set),not available in demo dataset,Illinois,Northern America,,15,,14,558250000.0,1,,,not available in demo dataset,,,,,(not set),,,,referral,/,mall.googleplex.com
17347,Referral,20170113,0608915197735218105,0608915197735218105_1484346392,Not Socially Engaged,1484346392,4,1484346392,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,42,,36,501840000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
21247,Referral,20161118,3274741740426447449,3274741740426447449_1479496976,Not Socially Engaged,1479496976,1,1479496976,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,14,1,14,599500000.0,1,,,not available in demo dataset,,,,,(not set),,,,referral,/,mall.googleplex.com
21344,Referral,20161118,6760732402251466726,6760732402251466726_1479492062,Not Socially Engaged,1479492062,34,1479492062,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,64,,42,639500000.0,1,,,not available in demo dataset,,,,,(not set),,True,,referral,/,mall.googleplex.com
21348,Direct,20161118,8359659445596139520,8359659445596139520_1479485405,Not Socially Engaged,1479485405,5,1479485405,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,Los Angeles,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Los Angeles CA,(not set),not available in demo dataset,California,Northern America,,78,,58,728200000.0,1,,,not available in demo dataset,,,,,(not set),,True,,(none),,(direct)
